path,current_role,wheel,sdist,proposed_disposition,v4_destination,rationale
cryptography_suite/core/settings.py,Runtime/support implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/crypto_backends/__init__.py,Cryptographic backend registry/adapter,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/crypto_backends/abc.py,Cryptographic backend registry/adapter,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/crypto_backends/pyca_backend.py,Cryptographic backend registry/adapter,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/debug.py,Runtime/support implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/errors.py,Runtime/support implementation,yes,yes,stable-core candidate,src/cryptography_suite/ (stable core; exact module decided in Phase 2),"Small reusable foundation candidate, subject to Phase 2 architecture and Phase 4 security validation."
cryptography_suite/exceptions.py,Runtime/support implementation,yes,yes,stable-core candidate,src/cryptography_suite/ (stable core; exact module decided in Phase 2),"Small reusable foundation candidate, subject to Phase 2 architecture and Phase 4 security validation."
cryptography_suite/experimental/__init__.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/experimental/aes_gcm_sst.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/experimental/ascon.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/experimental/fhe.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/experimental/salsa20.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/experimental/signal_demo/__init__.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/experimental/signal_demo/init_session.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/experimental/zk.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/hashing/__init__.py,Package initialization/export surface,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/homomorphic.py,Runtime/support implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/hybrid.py,Runtime/support implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/keystores/__init__.py,Keystore/provider implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/keystores/aws_kms.py,Keystore/provider implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/keystores/base.py,Keystore/provider implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/keystores/local.py,Keystore/provider implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/keystores/mock_hsm.py,Keystore/provider implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/keystores/pkcs11.py,Keystore/provider implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/legacy/__init__.py,Package initialization/export surface,yes,yes,legacy-decrypt-only,src/cryptography_suite/legacy/ (opt-in decrypt/migration only),"Retain only behind explicit, opt-in migration/decrypt compatibility."
cryptography_suite/nonce.py,Runtime/support implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/optional/__init__.py,Package initialization/export surface,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/optional/salsa20.py,Runtime/support implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/pipeline.py,Runtime/support implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/pqc/__init__.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/protocols/__init__.py,Protocol/key-management implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/protocols/key_management.py,Protocol/key-management implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/protocols/otp.py,Protocol/key-management implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/protocols/pake.py,Protocol/key-management implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/protocols/secret_sharing.py,Protocol/key-management implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/py.typed,PEP 561 typing marker,yes,yes,stable-core candidate,src/cryptography_suite/ (stable core; exact module decided in Phase 2),"Small reusable foundation candidate, subject to Phase 2 architecture and Phase 4 security validation."
cryptography_suite/rich_logging.py,Runtime/support implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/symmetric/__init__.py,Symmetric/KDF implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/symmetric/aes.py,Symmetric/KDF implementation,yes,yes,legacy-decrypt-only,src/cryptography_suite/legacy/ (opt-in decrypt/migration only),"Retain only behind explicit, opt-in migration/decrypt compatibility."
cryptography_suite/symmetric/ascon.py,Symmetric/KDF implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/symmetric/chacha.py,Symmetric/KDF implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/symmetric/kdf.py,Symmetric/KDF implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/utils.py,Runtime/support implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/viz/__init__.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/viz/export.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/viz/widgets.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/x509.py,Runtime/support implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/zk/__init__.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/zk/bulletproof.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/zk/zksnark.py,Experimental/research implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
protocol/handshake.proto,Handshake protobuf schema,no,no,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
src/crypto_suite/__init__.py,Package initialization/export surface,no,no,delete/dead code,remove after import/compatibility proof,Parallel source-tree implementation excluded from the current wheel; remove after compatibility proof.
src/crypto_suite/aead.py,Runtime/support implementation,no,no,delete/dead code,remove after import/compatibility proof,Parallel source-tree implementation excluded from the current wheel; remove after compatibility proof.
src/crypto_suite/experimental/__init__.py,Experimental/research implementation,no,no,delete/dead code,remove after import/compatibility proof,Parallel source-tree implementation excluded from the current wheel; remove after compatibility proof.
src/crypto_suite/experimental/aes_gcm_sst.py,Experimental/research implementation,no,no,delete/dead code,remove after import/compatibility proof,Parallel source-tree implementation excluded from the current wheel; remove after compatibility proof.
src/crypto_suite/handshake.py,Runtime/support implementation,no,no,delete/dead code,remove after import/compatibility proof,Parallel source-tree implementation excluded from the current wheel; remove after compatibility proof.
src/crypto_suite/handshake_pb2.py,Generated protobuf module,no,no,generated,"labs generated tree, if schema is retained",Generated compatibility artifact; regenerate only from its schema if labs retains it.
src/crypto_suite/nonce.py,Runtime/support implementation,no,no,delete/dead code,remove after import/compatibility proof,Parallel source-tree implementation excluded from the current wheel; remove after compatibility proof.
src/crypto_suite/utils/__init__.py,Package initialization/export surface,no,no,delete/dead code,remove after import/compatibility proof,Parallel source-tree implementation excluded from the current wheel; remove after compatibility proof.
src/crypto_suite/utils/zeroize.py,Runtime/support implementation,no,no,delete/dead code,remove after import/compatibility proof,Parallel source-tree implementation excluded from the current wheel; remove after compatibility proof.
src/cryptography_suite/__init__.py,Package initialization/export surface,no,no,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
src/cryptography_suite/cli/__init__.py,Command-line implementation,no,no,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
src/cryptography_suite/cli/migrate_keys.py,Command-line implementation,no,no,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
src/suite/__init__.py,Package initialization/export surface,no,no,delete/dead code,remove after import/compatibility proof,Parallel source-tree implementation excluded from the current wheel; remove after compatibility proof.
src/suite/experimental/__init__.py,Experimental/research implementation,no,no,delete/dead code,remove after import/compatibility proof,Parallel source-tree implementation excluded from the current wheel; remove after compatibility proof.
src/suite/utils/__init__.py,Package initialization/export surface,no,no,delete/dead code,remove after import/compatibility proof,Parallel source-tree implementation excluded from the current wheel; remove after compatibility proof.
src/suite/utils/warnings.py,Runtime/support implementation,no,no,delete/dead code,remove after import/compatibility proof,Parallel source-tree implementation excluded from the current wheel; remove after compatibility proof.
