"current_path","current_tree","sha256","current_wheel","current_sdist","phase1_proposed_disposition","phase2_binding_disposition","phase3_action","destination_when_retained","deletion_prerequisite","deletion_proof","final_artifact_presence"
"cryptography_suite/codegen/__init__.py","cryptography_suite/","076937eac36dd51049df05fe8ce26e4bb74dc832faf80c60785de9daf587aa74","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/codegen/templates/README.md.j2","cryptography_suite/","14fe0b2252eac0eecd4a81def9bacedbb13b51aa383126c7be3e43103a471e3c","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/codegen/templates/fastapi/app.py.j2","cryptography_suite/","e59b57ab010a9461051387fe7be8f4d4bc458a7ae080e6f8326cc03c81b88737","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/codegen/templates/flask/app.py.j2","cryptography_suite/","7939ea2bbc7028bd7156d175cd6b3ee6a9ee55140a21a7976f73b8633dd3d285","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/codegen/templates/node/app.ts.j2","cryptography_suite/","9b05edb3d021a82e00a73023ef03697b2402bf985c3d6c1c19ac92c917a96458","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/config.py","cryptography_suite/","c76fd384c6479a6446ddd02cec89dc5806d0adb332fd2d455c7edceb37421b54","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/constants.py","cryptography_suite/","b2af9dfcb4a637dcb758a18d9dc2ba7846f3301cfe9e7ed5654b73421703507d","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/core/__init__.py","cryptography_suite/","795f5894322cfd73956747fc5e96c54ba77d0eac0c309b2c89cbf33e5970c5af","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/core/errors.py","cryptography_suite/","4f72e68703d94d1828952a5c3c63c0454691f453f0a3e9a6bbcf26cca734de66","yes","yes","stable-core candidate","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/core/logging.py","cryptography_suite/","62013e1ede0eef80563231baefb0ac144afa6a5e243eb6ad299e055998ff7e54","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/core/operations.py","cryptography_suite/","acbbdbd9cdeb74b3128f843e608b9cd000693b43599b69d95a4a1366b0346456","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/core/settings.py","cryptography_suite/","ea1ca2ac709ec02737cf0f050d7e89e4553940d3f386eca6a452281ac6f1d774","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/crypto_backends/__init__.py","cryptography_suite/","c2e50fb213de0de0480d8a06b81d0ee46313f20a70f633af915df85366e3f445","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/crypto_backends/abc.py","cryptography_suite/","8fd59408795223f41b42c295060fa62ef91e3a70d07cd4f75a2477389b2ebd8d","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/crypto_backends/pyca_backend.py","cryptography_suite/","82f9f3b62b74ef147c3decf1ed5a2655080813fd0dcf33a3e1771efa44295cf0","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/debug.py","cryptography_suite/","94fb55906dc0b42114353a9a285ec59a0555485bfb66a4d26e002bc3524a43ba","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/errors.py","cryptography_suite/","4f9befccee233d2e63b1a198860b60484151a659d127880747e81eda7e7e4e38","yes","yes","stable-core candidate","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/exceptions.py","cryptography_suite/","efd69be3f3d3ca3b56d1704689ce6435ac6f9e02d5d97238f217bf01c892b8c7","yes","yes","stable-core candidate","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/experimental/__init__.py","cryptography_suite/","33d2cb5443f1c894ebdac507e482cc149c6e454c19fae4752c75030775b74b01","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/experimental/aes_gcm_sst.py","cryptography_suite/","1662bd97e3c368e6797da457eb89e992d95c73d3f4e751ceaa1641460bca2c90","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/experimental/ascon.py","cryptography_suite/","52398d23729e2e201f5698a4c7e67267f9237fbef42a50d25be1eff2b48122c2","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/experimental/fhe.py","cryptography_suite/","9de0c6b9cc166fc70746110b66ac24314bd055088a5bc137c1181bc2dc93978d","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/experimental/salsa20.py","cryptography_suite/","05fa967d995032d6069e8a3c728434e3c65b732e3ef00555836243d1094f03ae","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/experimental/signal_demo/__init__.py","cryptography_suite/","38cc2c764ab7f2225577937bcc98e1ff936c93f80dcd3db82219289f80025a82","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/experimental/signal_demo/init_session.py","cryptography_suite/","0100ec8293d525e0b3b6e74d21d03086249ad668d927a50edc9b4293b40cc85e","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/experimental/zk.py","cryptography_suite/","6f52fbfca60e40286756e564f0494ea8fea1749a0cd6bb3db814390de032e4a8","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/hashing/__init__.py","cryptography_suite/","872c991b6814b6f824f705703f6d6901eae97ff4938263a50f0ffb0066a97cb2","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/homomorphic.py","cryptography_suite/","d45b18d9a5adf47f62d6901d3fa71a76e7283496c49f506bd0cf3c848562f583","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/hybrid.py","cryptography_suite/","c3046d6bdea3e9f77399c78946c39cbb389b6d904811e5daf686c11ac113090a","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/keystores/__init__.py","cryptography_suite/","8b03fdd9f973184251b701ac6e82facf5dfc7bdba7f9838de122845d2b6e6148","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/keystores/aws_kms.py","cryptography_suite/","cc7b6554234b757a168338af287d6fab78461ff2ae616958cef27bad8f95db91","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/keystores/base.py","cryptography_suite/","91768b15585e76e48e4e85e8b126c21ce7d9be4e40fb96d3e1305ab6ce605067","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/keystores/local.py","cryptography_suite/","d50ef4b76dcb8294a1d55b6b0dcfda771adc89a2969c1222c9591d4cab3b4598","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/keystores/mock_hsm.py","cryptography_suite/","4e2a4e02fb0d1d72074ef76d35a6af71028ea088cb3c9d6b39135baf3bc23e5c","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/keystores/pkcs11.py","cryptography_suite/","1e0c3669afe9e98771b78bcf573004300763a10ac630928f540ae19522915307","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/legacy/__init__.py","cryptography_suite/","5acbe56ca0bdb51af6f2889e62186d58874b96a5c06c520e175915633696c27e","yes","yes","legacy-decrypt-only","legacy-deferred","deleted; no implementation port","src/cryptography_suite/legacy declarations only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/nonce.py","cryptography_suite/","3078858ce55ca9a0d490b30712fefcfa7beebbcf312530d09a181be6f521ad68","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/optional/__init__.py","cryptography_suite/","d30ab85f779814a17dcf6118f9b107eb03cf15a7a7734df0f2716b4999ff81b9","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/optional/salsa20.py","cryptography_suite/","1e34221cb1efb0ff7887a7cc737bb15dcf5cadc8428162c8b3e0c462efaecb0a","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/pipeline.py","cryptography_suite/","a03759d4afe38a1315d0d541eb3bad69af2affb305e591899b1d1804135f8b04","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/pqc/__init__.py","cryptography_suite/","f5e78b3680d3509b1ffc86b9e6a662ecea9376d664c354c1aaf848aa5184b5ef","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/protocols/__init__.py","cryptography_suite/","4360b15012d994e7ca2968d1ccb9113350af15bdbf29b112a2f1c0671291a5ec","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/protocols/key_management.py","cryptography_suite/","a98d4133d65fe5f22a40bebf1506f0f6872e7286a930ae9fece4a38f2ebd024e","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/protocols/otp.py","cryptography_suite/","726f08235c55267395743935c12ae5e24056fe70068e6d8db73ca23e440ee902","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/protocols/pake.py","cryptography_suite/","ef3babd43d411ded9edfaeda44a37ce1dc5db9de85575efba2dfede7f92dfa93","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/protocols/secret_sharing.py","cryptography_suite/","7c3b7496c40e92b2efafc9d3f2dedac7f5b785aa39635afe2d7070e64523bcbf","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/py.typed","cryptography_suite/","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","yes","yes","stable-core candidate","stable-rewrite","moved typing marker to canonical src package","src/cryptography_suite/py.typed","rollback checkpoint + SHA-256 + reference classification + artifact tests","py.typed present in 23-entry wheel and 40-entry sdist","yes, at canonical destination"
"cryptography_suite/rich_logging.py","cryptography_suite/","0fa07f8a0eff96e5c1e6e843658adecaeea04e4bdb8331e7c3fa079f0f2c95dd","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/symmetric/__init__.py","cryptography_suite/","cc6cf0b227c6fb808c2169189990330a0a3cf87de49ba130e13ce6c2601a02d6","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/symmetric/aes.py","cryptography_suite/","763d6cfdd03b18178525f95b516845f7d38744af626b2ee16a9bfa1201f0db0b","yes","yes","legacy-decrypt-only","legacy-deferred","deleted; no implementation port","src/cryptography_suite/legacy declarations only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/symmetric/ascon.py","cryptography_suite/","1e34221cb1efb0ff7887a7cc737bb15dcf5cadc8428162c8b3e0c462efaecb0a","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/symmetric/chacha.py","cryptography_suite/","247e44b9c06c7c42c59400c97a20b82b84f6eb92f2bf4fff3f5e59807aacc8b3","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/symmetric/kdf.py","cryptography_suite/","fffd10b8e892d5a80e8ca0a0df1a5060dc72b67f4e97e827b9252cfea6dbaca8","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/utils.py","cryptography_suite/","4b4938c84b1d08aaa8cb6a5d57bc7ff771b65b2896f8eea565105d814d4892c6","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/viz/__init__.py","cryptography_suite/","660bfa190d3f7b6e986bd747c484722848d02de0f34e6ab7f301933f5394e835","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/viz/export.py","cryptography_suite/","f1c1b6585892edff7cc7a992300bfe3a6a86b095989c903083ca3f5c79de25f4","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/viz/widgets.py","cryptography_suite/","0cd826ea763b5ae33d7b887c2f763d610b70feef7a60bb7c5169794be52c1411","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/x509.py","cryptography_suite/","f7e1a0cadf39ff938419a137e9be6772da9a741e922cd1d31d2f4bced6e03a19","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/zk/__init__.py","cryptography_suite/","e25c8b658faaf815dcd0523f1523f89b8d3c18193baae09eb42311ef1025789a","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/zk/bulletproof.py","cryptography_suite/","1f16f98935bf719d939b14e1ccfecc3c77b7ca8bc73407a7b7b680b7352ccae3","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/zk/zksnark.py","cryptography_suite/","78be52b884f09e7bbebfc8a40cbf496842fbf75ed794a9de0c44c2ed45292ef2","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"protocol/handshake.proto","protocol/","339e9f858db1891a52c2fd31831ff7afe966402f06813ca5fb1e065c220d782c","no","no","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"src/crypto_suite/__init__.py","src/crypto_suite/","5a0577a39ca5956b6a872f3941a87c89c9d798e1a676a2cf7a66411cd0ebd946","no","no","delete/dead code","dead-delete","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"src/crypto_suite/aead.py","src/crypto_suite/","baf1f879ac246906c7ad1801de9b98e10b78b4abcbb61f7f55550904a1057d1e","no","no","delete/dead code","dead-delete","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"src/crypto_suite/experimental/__init__.py","src/crypto_suite/","f90df2d615c3f7f7984ff5d718b84f5e7597d59fee47929cbdce5d300facb423","no","no","delete/dead code","dead-delete","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"src/crypto_suite/experimental/aes_gcm_sst.py","src/crypto_suite/","3ba0552fedb4bd5044a1f07016e3fae3472d061e7a18b540bb5c66ac73b2f291","no","no","delete/dead code","dead-delete","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"src/crypto_suite/handshake.py","src/crypto_suite/","4783dae01d3aa67e5279118bfb0d699f095a30f36a1899ffe8f09dd21a4a0e56","no","no","delete/dead code","dead-delete","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"src/crypto_suite/handshake_pb2.py","src/crypto_suite/","0ba525211bd98472d90af5569d91517856245081b07d63b1d5ebf17060955659","no","no","generated","labs-generated","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"src/crypto_suite/nonce.py","src/crypto_suite/","ab742f05b5aea628780ba994d64a6f2a0db06e95970d0e5683585e8b6ba6bcd1","no","no","delete/dead code","dead-delete","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"src/crypto_suite/utils/__init__.py","src/crypto_suite/","dff1d32fd6adf1838b82bffbd0aaf88751b6f6f79de4b74a80c1726032ad5fa5","no","no","delete/dead code","dead-delete","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"src/crypto_suite/utils/zeroize.py","src/crypto_suite/","cf939b8f4c423dcc99ad0ca77053425e3234654369513ca8ff1021eac5b2cb08","no","no","delete/dead code","dead-delete","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"src/cryptography_suite/__init__.py","src/cryptography_suite/","bd76af07c85f6d49118744f7d9f8175c545d5d382340505a6533dd100f613b54","no","no","rewrite","stable-rewrite","replaced dynamic wrapper with canonical 15-symbol facade","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","API/import/artifact tests pass; rollback checkpoint retained","yes, canonical replacement"
"src/cryptography_suite/cli/__init__.py","src/cryptography_suite/","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","no","no","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
